ax,ay,az,gx,gy,gz
-0.1037,-0.0717,0.9841,-1.7645,3.3870,-0.1944
-0.0989,-0.0735,0.9827,-1.7496,3.0804,-0.3439
-0.1036,-0.0698,0.9838,-1.5851,3.1776,-0.7253
-0.1050,-0.0688,0.9846,-1.6898,3.2449,0.0598
-0.1058,-0.0685,0.9833,-1.7645,3.1178,-0.0150
-0.1020,-0.0672,0.9830,-1.5552,3.2674,-0.2916
-0.1033,-0.0705,0.9844,-1.5253,3.1552,0.0523
-0.1026,-0.0725,0.9855,-1.4729,3.1627,-0.1720
-0.1025,-0.0698,0.9863,-1.6524,3.2898,-0.4561
-0.1064,-0.0688,0.9881,-1.5477,3.1403,-0.1570
-0.0978,-0.0573,1.0009,-1.3907,3.3047,0.0150
-0.1049,-0.0724,0.9840,-1.6673,3.3197,-0.4112
-0.1008,-0.0800,0.9763,-1.4804,3.2599,-0.1122
-0.1038,-0.0768,0.9888,-1.3533,3.0505,-0.8598
-0.1078,-0.0763,0.9793,-1.4355,3.1627,-0.1570
-0.1130,-0.0804,0.9876,-1.7795,3.6786,-0.6804
-0.1142,-0.0598,0.9937,-1.6000,3.2001,-0.3963
-0.1015,-0.0703,0.9942,-1.6673,3.4618,-1.6449
-0.1053,-0.0731,0.9782,-1.4281,3.2748,-0.1421
-0.0883,-0.0765,0.9627,-1.4729,3.1477,-0.3738
-0.1068,-0.0789,0.9891,-1.5627,3.1029,-0.5682
-0.1036,-0.0719,1.0060,-1.8617,3.3197,-0.6281
-0.1038,-0.0550,0.9814,-1.4954,3.1776,-0.6281
-0.1270,-0.1086,1.0512,-1.2935,3.2823,-0.3888
-0.0997,-0.0945,0.9409,-1.8243,2.9010,0.3290
-0.1924,-0.0565,1.1378,-2.2131,2.8786,-0.6355
-0.1169,-0.0745,1.0015,-2.0262,3.1104,-1.2337
-0.1133,-0.0900,0.9641,-5.7272,5.0693,-0.7552
-0.1013,-0.0596,0.9901,-8.9796,6.5198,-1.1888
-0.0995,-0.0676,0.9832,-6.3254,4.9272,-0.4486
-0.1014,-0.0668,0.9791,-11.5367,6.7067,0.1645
-0.1001,-0.0674,0.9593,-13.3087,7.7460,-0.1271
-0.1003,-0.0564,0.9875,-20.7855,10.4152,-4.5160
-0.0936,-0.0524,0.9827,-21.9893,9.8993,-5.3011
-0.0919,-0.0190,0.9871,-26.1613,8.9198,-4.3739
-0.0751,-0.0117,0.9638,-27.6343,6.8637,-5.0020
-0.0984,-0.0005,0.9763,-24.0379,3.5141,-6.5572
