ax,ay,az,gx,gy,gz
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.0386,-0.0161,-1.0210,-2.2430,2.0038,-0.5533
-0.0095,-0.0280,-1.0182,-2.4300,1.3757,-0.6654
0.0231,-0.0320,-1.0171,-2.1608,2.1159,-13.3162
-0.0292,-0.0220,-1.0175,-1.8916,2.9010,-20.5762
-0.0959,-0.0052,-1.0173,-1.0468,5.2637,-17.0322
-0.0724,-0.0145,-1.0155,-0.1869,6.0936,-6.5497
-0.0341,-0.0194,-1.0166,-0.1047,6.9908,-3.7534
-0.0134,-0.0266,-1.0171,0.2617,7.4319,-8.5460
-0.0140,-0.0173,-1.0174,-0.0449,7.6936,-13.0545
-0.0278,-0.0195,-1.0134,0.0299,7.3048,-19.6715
-0.0502,-0.0154,-1.0209,-0.8224,6.0263,-23.4323
-0.0782,-0.0078,-1.0215,-1.2486,4.9197,-23.7762
-0.0540,-0.0120,-1.0219,-1.0019,5.4057,-17.8621
-0.0092,-0.0239,-1.0216,-1.7645,3.6188,-18.9986
-0.0577,-0.0148,-1.0157,-1.8617,3.8356,-22.5949
-0.0082,-0.0283,-1.0320,-2.0486,3.2823,-28.5614
-0.0457,-0.0128,-1.0022,-1.9215,4.8599,-31.7540
-0.0359,-0.0137,-1.0015,-2.2879,2.8412,-32.4792
-0.0015,-0.0178,-1.0032,-2.4823,3.5440,-37.8551
0.0473,-0.0153,-1.0409,-2.4599,3.6113,-46.2814
0.0074,-0.0146,-1.0288,-2.6393,3.2674,-63.7173
-0.0585,-0.0540,-0.9932,-2.4673,4.2992,-73.1905
-0.1019,-0.0012,-1.0232,-2.8412,2.4449,-70.5736
-0.0966,0.0006,-1.0237,-3.3496,1.9365,-61.4743
-0.0517,-0.0174,-1.0206,-0.8299,6.9160,-53.7732
-0.0357,0.0005,-1.0565,-1.9589,4.6132,-59.3359
0.0032,-0.0233,-0.9802,-2.4374,3.8506,-65.8632
